What is the name of the dog you would like to submit a response for?,What is the gender of {{field:dog_name}},Do you know the age of {{field:dog_name}}?,Please enter the age of {{field:dog_name}} in months:,Did you acquire {{field:dog_name}} between 2 and 6 months?,Did {{field:dog_name}} attend puppy training classes between 2 and 6 months?,What style of training was taught to you and {{field:dog_name}} during class?,Where was puppy training offered?,Did {{field:dog_name}} attend any training classes after 6 months of age?,What style of training was used?,Who trained you and {{field:dog_name}}?,At what age did you complete training {{field:dog_name}}?,Is there at least one situation in which {{field:dog_name}} behaves aggressively?,Who or what has {{field:dog_name}} acted aggressively toward?,Is there at least one situation in which {{field:dog_name}} is fearful or anxious?,What sort of fears and/or anxiety has {{field:dog_name}} had?,Do you consider {{field:dog_name}} to have a problem with jumping up on people?,Who does {{field:dog_name}} jumped up on?,Does {{field:dog_name}} bark excessively?,When has {{field:dog_name}} excessively barked?,Has {{field:dog_name}} ever eaten feces?,What type of feces has {{field:dog_name}} eaten?,Has {{field:dog_name}} ever had any repetitive behaviors?,What sort of repetitive behaviors have you seen with {{field:dog_name}}?,Have you ever had a problem with {{field:dog_name}} soiling in the house?,When has {{field:dog_name}} soiled in the house?,How has {{field:dog_name}} soiled in the house?,Where has {{field:dog_name}} soiled in the house?,Has {{field:dog_name}} ever rolled in repulsive material?,In what repulsive material has {{field:dog_name}} rolled?,Do you consider{{field:dog_name}} to be overactive/hyperactive?,In what ways has {{field:dog_name}} been overactive/hyperactive?,Has {{field:dog_name}} ever exhibited destructive behavior in the home (other than puppy chewing behavior)?,When has {{field:dog_name}} been destructive?,Has {{field:dog_name}} ever run away/escaped?,Which of the following describes how {{field:dog_name}} has run away/escaped?,Have you ever had a problem with {{field:dog_name}} mounting/humping?,Who or what has {{field:dog_name}} mounted/humped?,Would you like to enter information for another dog you own?,id,msg,list,sep,Submitted At,Token
Sisko,Male,Yes,125.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,Myself/family member attended group classes,Continue to practice and use training skills in home,False,,True,Fear of other dogs,False,,False,,True,"Dog feces other than their own, The feces of other animals",False,,False,,,,False,,False,,False,,False,,False,,True,452b26bba5db04c5a523dae6021f2678,,, ,5/5/2020 20:54:22,lzys5ciyovjdeuiv64lzys59mtkkt3ru
Bentley,Male,Yes,85.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,Myself/family member attended group classes,"Continue to attend classes periodically (nose work, agility, trick training, etc.), Continue to practice and use training skills in home",False,,False,,False,,False,,False,,False,,False,,,,False,,False,,False,,False,,False,,False,6f91b3978133738c1faa7287578501d1,We have submissions for:,,", ",5/5/2020 20:53:30,yygefb568evrg9wpyygefext0gnhkveg
Cosmo,Male,Yes,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,63cb5ec402a319f6b9f35ee09d30b004,,, ,5/5/2020 20:54:13,ukos1gqlxi0wlzilsnukos1k9sewxbnt
Willa,Female,Yes,48.0,False,I don't know,,,Yes,Reward based,"Myself/family member attended group classes, Hired in home private trainer","18-36 months (social maturity), Continue to practice and use training skills in home",True,"Strangers visiting the home, Strangers away from the home, Familiar dogs in the home, Familiar dogs away from the home, Unfamiliar dogs in the home, Unfamiliar dogs away from the home, Animals other than dogs, Trainers",True,"Fear of crowds, Fear of veterinary visits, Fear of noises, Fear of thunderstorms, Fear of other dogs, Fear of animals other than dogs, Travel anxiety, Generalized anxiety, Post-traumatic Stress Disorder (PTSD)",True,Owners,True,"At triggers (inside), At triggers (outside), Owners are present, Owners are away, To get attention, During car rides",True,"Their own feces, The feces of other animals",True,"Collecting/arranging objects, Tennis ball fetish, Running in geometric patterns",True,"Owners are present, Owners are away, Exited/overwhelmed",Both feces and urine,Anywhere,False,,True,"Difficulty settling, Easily distracted, Impulsiveness",False,,False,,False,,True,2743e70e60409bd372df6ab3606a14f0,,, ,5/5/2020 20:59:37,chfpkxtg8kvf407w1463chfpkxtxnitb
Toby,Male,Yes,63.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,Myself/family member attended group classes,Continue to practice and use training skills in home,True,"Familiar dogs in the home, Animals other than dogs",False,,True,"Owners, Familiar people, Stangers",False,,True,"Dog feces other than their own, The feces of other animals",False,,False,,,,False,,False,,False,,False,,False,,False,452b26bba5db04c5a523dae6021f2678,We have submissions for:,,,5/5/2020 20:57:20,7634xaoc46v3jwa27634x5009rxg32c7
Reginald,Male,Yes,28.0,True,No,,,Yes,Mixed balance of both reward and discipline,Myself/family member attended group classes,"Continue to attend classes periodically (nose work, agility, trick training, etc.)",True,"Strangers visiting the home, Strangers away from the home, Unfamiliar dogs in the home, Unfamiliar dogs away from the home, Veterinarians",True,"Fear of crowds, Fear of veterinary visits, Fear of noises, Separation anxiety, Generalized anxiety",True,Stangers,False,,True,Dog feces other than their own,True,"Licking of the wrist/hock, Nail biting, Stone/rock chewing",False,,,,False,,False,,True,Owner is away,True,"Escapes from home, Escapes from confinement, Escaped when out",False,,False,ca6e807f53c82fd8c05d9591fd4ad5a8,,, ,5/5/2020 20:59:02,mck7abj3iszk0aa6wmck7aj6wqydw6pl
Bryn,Male,Yes,37.0,False,I don't know,,,Yes,Reward based,Myself/family member attended group classes,Continue to practice and use training skills in home,True,Strangers visiting the home,True,"Fear of noises, Fear of thunderstorms",False,,False,,False,,False,,False,,,,True,"Feces, Dead stuff",True,Constant moving/jumping,False,,True,Returns home after escape,False,,True,bec9cad31e05817716a5c6da2ce453da,,, ,5/5/2020 21:02:03,lh4ranawff6r0l9s1mxj46lh4ranawfh
Remington,Male,Yes,87.0,True,Yes,Mixed balance of both reward and discipline,Myself/family member attended group classes,Yes,Mixed balance of both reward and discipline,Myself/family member attended group classes,"18-36 months (social maturity), Continue to practice and use training skills in home",True,"Unfamiliar dogs in the home, Unfamiliar dogs away from the home, Animals other than dogs",False,,False,,False,,True,"Their own feces, The feces of other animals, Dog feces other than their own",False,,False,,,,False,,False,,False,,True,Escaped when out,False,,False,f7b9befa0c1d7a35e279d325d8230c61,,, ,5/5/2020 21:02:54,yyv00a7maqv8z1n4qdf8byyv0052fcy2
RJ,Male,Yes,90.0,True,Yes,Reward based,Sent to a professional training school/boot camp,No,,,,False,,True,Fear of thunderstorms,False,,False,,False,,False,,False,,,,False,,False,,False,,False,,False,,,5affcfdffa67ed0db0f72c5c59444fb5,,, ,5/5/2020 21:00:47,97t7dkgmy4dqm1qh305971e81avtt9ai
Franny,Female,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,2743e70e60409bd372df6ab3606a14f0,We have submissions for:,,", ",5/5/2020 21:00:08,b7dkefjh6wjynnkb7dkjch4p0gpzbbas
Franny,Female,Yes,156.0,False,I don't know,,,No,,,,True,"Familiar dogs in the home, Familiar dogs away from the home, Unfamiliar dogs in the home, Unfamiliar dogs away from the home, Animals other than dogs",True,Travel anxiety,True,"Owners, Familiar people, Stangers",True,"At triggers (outside), At triggers (inside), Owners are present, Owners are away, To get attention",True,The feces of other animals,False,,True,"Owners are present, Owners are away",Both feces and urine,Anywhere,True,"Urine, Feces, Garbage, Dead stuff",False,,True,Owner is present,True,"Escapes from home, Escaped when out, Escapes from confinement",True,"People, Inanimate objects, Unfamiliar dogs",False,2743e70e60409bd372df6ab3606a14f0,We have submissions for:,,", ",5/5/2020 21:04:02,r9ngtt5hc299uaw7vzs63pkr9ngtt5nc
Katie,Female,Yes,40.0,False,I don't know,,,Yes,Reward based,Myself/family member attended group classes,"6 to 18 months (adolescence), Continue to attend classes periodically (nose work, agility, trick training, etc.), Continue to practice and use training skills in home",False,,True,She is fearful of slick floors after having surgery for elbow dysplasia.,True,"Owners, Familiar people, Stangers",False,,False,,False,,False,,,,False,,False,,False,,False,,False,,False,bec9cad31e05817716a5c6da2ce453da,We have submissions for:,,", ",5/5/2020 21:07:01,6m0a4gnb8sxidg3rml6m0a498c9wtqre
Lola,Female,Yes,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,163e9d436bc83afd754db9b62fb6c085,,, ,5/5/2020 21:03:21,ydcv0wblld2uq9389rszydcv0wk67jx9
Carl,Male,Yes,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,163e9d436bc83afd754db9b62fb6c085,We have submissions for:,,", ",5/5/2020 21:03:57,hsx7z16q22v5pff40zpm2hsx7z16q25n
Gracie,Female,Yes,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,163e9d436bc83afd754db9b62fb6c085,We have submissions for:,,", ",5/5/2020 21:04:20,2tq13cdivu9j7tu2tq16cuj9d5su1jzk
Candy,Female,Yes,110.0,False,I don't know,,,Yes,Reward based,"Myself/family member attended group classes, Hired in home private trainer",18-36 months (social maturity),True,Familiar people in the home,True,"Fear of veterinary visits, Fear of noises, Fear of thunderstorms, Post-traumatic Stress Disorder (PTSD)",True,"Owners, Stangers, Familiar people",True,At triggers (outside),True,"Dog feces other than their own, The feces of other animals",False,,False,,,,True,"Feces, Dead stuff",False,,False,,False,,False,,True,b88549d85c312d27b4f6096e5bb160bc,,, ,5/5/2020 21:09:14,vozzch0gisbdbe7ivozz9gyqjx9sl7x9
Charlie,Male,Yes,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,5c4be837849731804e4d0c8f277e675a,,, ,5/5/2020 21:04:54,gwnt2lprws58awgwnumr4183bzduf3lc
Chloe,Female,Yes,13.0,False,No,,,Yes,Reward based,Myself/family member attended group classes,"6 to 18 months (adolescence), Continue to practice and use training skills in home",False,,True,Travel anxiety,False,,False,,True,"Their own feces, Dog feces other than their own",False,,False,,,,False,,False,,False,,False,,False,,False,e163394ee681d6d54f195ea8ee57e3b9,,, ,5/5/2020 21:06:55,eo5m0gd8uwsjnbm38ncmeo5m0tyeyk1p
Abby,Female,Yes,54.0,False,No,,,Yes,Mixed balance of both reward and discipline,Myself/family member attended group classes,Continue to practice and use training skills in home,True,"Familiar people in the home, Unfamiliar dogs away from the home",True,family members (without initial cause),False,,False,,False,,False,,False,,,,False,,False,,False,,False,,False,,True,ed7acd81e89ad33116343a638c3196d6,,, ,5/5/2020 21:10:58,a7t2f5yozu8vryd7la7t2f5tqkhcy63f
Willow,Female,Yes,120.0,False,I don't know,,,Yes,Reward based,Myself/family member attended group classes,18-36 months (social maturity),True,Unfamiliar dogs away from the home,True,"Fear of noises, Fear of other dogs",True,"Owners, Familiar people, Stangers",False,,False,,False,,False,,,,True,Feces,False,,True,Owner is away,False,,False,,False,f77d3bc0a7c2e0497e86668191a87f07,,, ,5/5/2020 21:10:04,ytpxwt8xhvttqcrrs9ytpxwtsrxk7oio
Nini,Female,Yes,81.0,False,No,,,Yes,Mixed balance of both reward and discipline,Myself/family member attended group classes,Continue to practice and use training skills in home,False,,True,"Fear of other dogs, Separation anxiety",False,,False,,True,The feces of other animals,False,,False,,,,False,,False,,False,,False,,False,,False,f51ee17997bc4b6f971f7458f0566d50,,, ,5/5/2020 21:12:07,yag7m78hc3ypml75vtd5hyag7m7qrn4b
Rudder,Female,Yes,113.0,True,No,,,Yes,Reward based,Hired in home private trainer,6 to 18 months (adolescence),True,Strangers away from the home,True,"Fear of veterinary visits, Fear of noises, Fear of thunderstorms, Separation anxiety",False,,False,,False,,False,,False,,,,True,Dead stuff,False,,True,Owner is away,False,,False,,False,701bccc76abd1b4d51423aeb9b74b0a3,,, ,5/5/2020 21:11:02,0rtt0mm5hm6eulhi5n0rttbtavm39et2
Hamlet,Male,Yes,30.0,True,Yes,Mixed balance of both reward and discipline,Sent to a professional training school/boot camp,No,,,,False,,True,"Fear of noises, Travel anxiety, Fear of veterinary visits",False,,False,,False,,False,,False,,,,False,,False,,False,,False,,True,Familiar dogs,False,32a4f5de41bb4f0e121a46955eef1365,,, ,5/5/2020 21:12:25,ibnqxddr73gza8xigoibnqxddg9dmfb9
Wyatt,Male,Yes,156.0,False,I don't know,,,Yes,Reward based,Myself/family member attended group classes,18-36 months (social maturity),True,"Familiar people in the home, Strangers visiting the home, Strangers away from the home, Animals other than dogs, Veterinarians, Groomers",True,Fear of noises,False,,False,,True,"Dog feces other than their own, The feces of other animals",False,,False,,,,True,Dead stuff,False,,False,,False,,False,,True,38536fb30e1929a924488140ab6b7305,,, ,5/5/2020 21:14:21,58cgq4xrizadcjg158c8ravu1vifsmjv
Goopert,Male,Yes,14.0,False,I don't know,,,No,,,,True,Strangers visiting the home,False,,False,,False,,True,"Their own feces, The feces of other animals",False,,False,,,,False,,False,,True,Owner is away,False,,False,,False,efc431e65383acc4de8ae367af795e84,,, ,5/5/2020 21:11:39,6xfti8uwudjiyisel6xftihvldwu2wxb
Wallace,Male,Yes,104.0,False,No,,,No,,,,False,,True,Men wearing hoods ,False,,False,,True,"Dog feces other than their own, The feces of other animals",True,Tail chasing,False,,,,False,,False,,False,,False,,True,Familiar dogs,False,b88549d85c312d27b4f6096e5bb160bc,We have submissions for:,,", ",5/5/2020 21:12:30,iw2hkll1djuxfo2o85kiw2hkll735xjs
Bobbie,Female,Yes,36.0,False,I don't know,,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,1059b2efe2688b6e74f1f66ba0bf071e,,, ,5/5/2020 21:11:00,bam6pmady1yfkq7bam6pmbkonbif6awj
Chance,Male,Yes,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,d5747956e7d2a0aaad9dfd4b7d08a2cf,,, ,5/5/2020 21:11:06,l8xtwr762z1q2hi2s0q7osl8xtw72bz2
Stevie,Female,Yes,36.0,False,I don't know,,,No,,,,False,,True,"Fear of crowds, Fear of veterinary visits",False,,False,,True,"Their own feces, Dog feces other than their own",False,,False,,,,False,,False,,False,,False,,True,Familiar dogs,False,1059b2efe2688b6e74f1f66ba0bf071e,We have submissions for:,,", ",5/5/2020 21:15:06,uh0nwmifbtcmp1b4fjcfiuh0nwf20ng1
Yellow Dog,Male,Yes,30.0,False,No,,,No,,,,True,"Strangers visiting the home, Familiar dogs in the home, Unfamiliar dogs in the home, Unfamiliar dogs away from the home, Animals other than dogs",True,"Travel anxiety, Separation anxiety",True,"Owners, Familiar people",False,,True,"Dog feces other than their own, The feces of other animals",True,"Licking of the wrist/hock, Collecting/arranging objects",False,,,,True,"Urine, Feces, Garbage, Dead stuff",False,,True,"Owner is present, Owner is away",True,"Escaped when out, Escapes from home, Escapes from confinement",False,,False,ed7acd81e89ad33116343a638c3196d6,We have submissions for:,,", ",5/5/2020 21:17:41,vx2fyb0wrip9aicih99vx2fybn08si4j
Newt,Female,Yes,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,3ea182741999dd54cb902c478ba2704c,,, ,5/5/2020 21:11:56,vnxe9ddoosjjj037bsv0swvnxe9dxutc
Lexi,Female,Yes,27.0,False,Yes,I don't know,I don't know,Yes,Mixed balance of both reward and discipline,Myself/family member attended group classes,6 to 18 months (adolescence),False,,True,"Fear of crowds, Fear of noises",False,,False,,True,"Their own feces, Dog feces other than their own, The feces of other animals",False,,False,,,,True,Feces,False,,False,,False,,False,,False,a52ca11f9f1c9e87ae477699ca4c65e3,,, ,5/5/2020 21:14:46,1juj63i48jgcet81jmn0d6wvnamsjm7o
Blu,Male,Yes,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,3ea182741999dd54cb902c478ba2704c,We have submissions for:,,", ",5/5/2020 21:12:25,vfr5s2hoy2fjin3zxhgvfr5sxrz3kt1c
Chica Bey,Female,Yes,22.0,True,No,,,No,,,,False,,False,,False,,False,,True,Their own feces,False,,False,,,,False,,False,,False,,False,,False,,True,2bd8005e751ff3d0eed6732378299ec8,,, ,5/5/2020 21:14:38,q4u35xh3i2jiycrg84gq4u3icmkz7nf6
Chance,Male,Yes,48.0,True,No,,,No,,,,True,"Strangers visiting the home, Unfamiliar dogs away from the home",False,,False,,True,"At triggers (inside), Owners are present, To get attention, When other household dogs go in/out, at feeding",False,,False,,False,,,,True,"Feces, Dead stuff",False,,False,,False,,False,,True,29768fe8c3347126578122bf4523944d,,, ,5/5/2020 21:15:04,oyxziihptjcpxy8zeioyxziihp723fyr
Ripley,Female,Yes,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,3ea182741999dd54cb902c478ba2704c,We have submissions for:,,", ",5/5/2020 21:12:52,3ktg1dauyj4kxli3ktg1dobxztqcavk8
Dexter,Male,Yes,49.0,True,No,,,No,,,,True,"Strangers visiting the home, Strangers away from the home, Veterinarians",True,"Fear of veterinary visits, Fear of noises, Fear of crowds",False,,False,,True,The feces of other animals,False,,False,,,,True,A strange brownish liquid substance  ,False,,False,,False,,True,"People, Familiar dogs",False,eba461e6558b3da1d086c58f6063ffa5,,, ,5/5/2020 21:23:42,s1l3axt7510j05lnj1q4s1l3ax7zhqnj
Mavis,Female,Yes,12.0,False,I don't know,,,Yes,Reward based,Myself/family member attended group classes,"Continue to attend classes periodically (nose work, agility, trick training, etc.)",False,,True,Fear of other dogs,True,"Owners, Stangers",False,,False,,False,,False,,,,True,Dead stuff,False,,False,,False,,False,,False,921629dd4b43022478b5ba1f2ce5e5a1,,, ,5/5/2020 21:16:03,vbw6xw05vcvjdwvbwlinl9lf93x0nnwq
Sophie,Female,Yes,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,3ea182741999dd54cb902c478ba2704c,We have submissions for:,,", ",5/5/2020 21:13:17,p10v5pxzu7qmj8uop3p10vtr7gxjg8ju
Sonny,Male,Yes,15.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,Myself/family member attended group classes,"Continue to practice and use training skills in home, Continue to attend classes periodically (nose work, agility, trick training, etc.)",False,,True,"Fear of veterinary visits, Fear of noises, Fear of thunderstorms, Generalized anxiety",False,,False,,True,The feces of other animals,False,,True,"Owners are present, Owners are away",Urine,"Specific locations, Anywhere",True,Dead stuff,False,,False,,False,,False,,True,7ff5c73876570543c99af59dac80be6d,,, ,5/5/2020 21:16:15,vk469z8kcsxha60uafzvk469zjbzjzlw
Ari,Male,Yes,48.0,False,I don't know,,,No,,,,True,"Strangers visiting the home, Familiar dogs away from the home, Unfamiliar dogs in the home, Unfamiliar dogs away from the home, Animals other than dogs",True,"Fear of veterinary visits, Fear of noises",False,,True,"At triggers (outside), Owners are present, At triggers (inside)",False,,False,,True,Owners are away,Both feces and urine,Specific locations,True,Dead stuff,False,,False,,False,,False,,False,38536fb30e1929a924488140ab6b7305,We have submissions for:,,", ",5/5/2020 21:19:13,f3k56c0hmmyyp4wthf3k56cpl1kpqdml
Pancho,Male,Yes,22.0,False,No,,,No,,,,False,,True,"Fear of noises, Travel anxiety",False,,False,,False,,False,,False,,,,False,,False,,False,,False,,False,,False,2bd8005e751ff3d0eed6732378299ec8,We have submissions for:,,", ",5/5/2020 21:16:49,up780735w30s3zi6d9oe0up7807351qc
Trill,Female,Yes,19.0,False,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,"Myself/family member attended group classes, Sent to professional training school/boot camp","18-36 months (social maturity), Continue to attend classes periodically (nose work, agility, trick training, etc.)",False,,True,Reactive to beings moving past ,False,,True,"At triggers (inside), At triggers (outside), Owners are present, Owners are away, To get attention, During car rides",True,The feces of other animals,False,,False,,,,True,"Feces, Dead stuff",True,"Constant moving/jumping, Impulsiveness, Easily distracted, Difficulty settling",False,,True,Escaped when out,False,,False,c007868b803628986d3216901ed00797,,, ,5/5/2020 21:17:48,malxlyofqhj8xvr1h9advwumalxlyofy
Edith,Female,Yes,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,73d4d5aaf399ef0b6584e1ea6324038a,,, ,5/5/2020 21:15:23,159f8nyfu6do2kjhdk159fvgdcgyffrz
Bullet,Male,Yes,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,29768fe8c3347126578122bf4523944d,We have submissions for:,,", ",5/5/2020 21:15:31,bt6s55igb33whaqimgfiajbt6s55kkdx
River,Female,Yes,60.0,True,No,,,No,,,,True,"Unfamiliar dogs in the home, Unfamiliar dogs away from the home",False,,False,,False,,False,,False,,False,,,,False,,True,"Difficulty settling, Constant moving/jumping, Impulsiveness, Easily distracted",True,"Owner is present, Owner is away",False,,False,,True,29768fe8c3347126578122bf4523944d,We have submissions for:,,", ",5/5/2020 21:17:16,im7ugg2wgr8gcvgim7a1uzft0rf13d38
Nicky,Male,Yes,15.0,False,No,,,No,,,,True,"Familiar people in the home, Strangers visiting the home, Familiar dogs in the home, Unfamiliar dogs in the home",True,"Fear of veterinary visits, Fear of other dogs, Separation anxiety, Generalized anxiety, Post-traumatic Stress Disorder (PTSD)",False,,True,"At triggers (inside), At triggers (outside), Owners are present, Owners are away",True,Their own feces,False,,False,,,,False,,False,,False,,False,,False,,False,7ff5c73876570543c99af59dac80be6d,,, ,5/5/2020 21:19:06,2mg0n8tgwei7dkpxvcr42mg39j2fda8j
Bella,Female,Yes,129.0,False,No,,,No,,,,False,,True,"Fear of thunderstorms, Fear of noises",False,,False,,False,,False,,False,,,,False,,False,,False,,True,Got loose while working once,False,,False,29768fe8c3347126578122bf4523944d,We have submissions for:,,", ",5/5/2020 21:19:22,5g0r3ztomny7cy5g0rwv9kt1dna8lo3o
Border Collie,Male,Yes,100.0,False,I don't know,,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,edd8d0889602b0c77117440a8defa33c,,, ,5/5/2020 21:22:14,az46e75fdrp4x7zjev55i6haz46e75ht
Kasey,Female,Yes,183.0,True,No,,,Yes,Reward based,Myself/family member attended group classes,"Continue to attend classes periodically (nose work, agility, trick training, etc.), Continue to practice and use training skills in home",True,"Strangers visiting the home, Animals other than dogs",True,Fear of animals other than dogs,False,,False,,False,,False,,False,,,,True,Dead stuff,False,,False,,False,,False,,False,4b2cbb50ae85c9eddb3568e01528842b,,, ,5/5/2020 21:24:50,rbuvh94m2mr6p4i3fsrbuva5h0p8gj6m
